,geo_precision,count,boundary,lon,lat
640,1,2,GTM.13.16_1,-91.5167,14.8333
641,1,2,GTM.7.37_1,-90.5269,14.6211
1969,4,2,GUM,144.793732,13.444304
708,1,2,GUY.3.2_1,-58.1667,6.8
1867,4,1,HKG,114.166667,22.25
1866,1,1,HKG.13_1,114.1,22.3667
649,4,13,HND,-86.5,15
1023,4,7,HRV,15.5,45.166667
1022,1,1,HRV.20.5_1,16.0669,44.1439
1021,1,6,HRV.4.7_1,16,45.8
1019,1,1,HRV.6.12_1,15.1,45.15
1020,1,5,HRV.9.9_1,15.7097,44.7439
683,4,9,HTI,-72.416667,19
1072,4,2,HUN,20,47
1071,1,5,HUN.5.1_1,19.0833,47.5
1828,4,10,IDN,120,-5
1815,1,1,IDN.11.13_1,111.518,-7.6336
1816,1,7,IDN.11.18_1,112.337,-7.1046
1817,1,1,IDN.11.32_1,112.516,-7.4592
1818,1,1,IDN.11.35_1,112.751,-7.24917
1813,1,1,IDN.12.7_1,109.567,0.316667
1819,1,4,IDN.2.4_1,115.217,-8.65
1823,1,2,IDN.20.6_1,116.458,-8.4117
1824,1,1,IDN.20.6_1,116.687,-8.3791
1820,1,6,IDN.20.7_1,116.033,-8.35
1821,1,3,IDN.20.7_1,116.106,-8.4007
1822,1,4,IDN.20.8_1,116.116,-8.5837
1827,1,2,IDN.27.11_1,120.817,1.0392
1826,1,2,IDN.27.7_1,120,0
1807,1,1,IDN.32.15_1,98.3742,3.664
1814,1,2,IDN.33.1_1,110.283,-7.95
1809,1,1,IDN.4.6_1,106.224,-6.2575
1810,1,14,IDN.7.2_1,106.829,-6.17444
1811,1,1,IDN.7.4_1,106.907,-6.2006
1808,1,1,IDN.8.3_1,103.617,-1.6
1812,1,2,IDN.9.7_1,107.338,-7.4506
1723,4,19,IND,77,20
1601,1,2,IND.10.1_1,73.7333,15.5833
1602,1,2,IND.10.1_1,73.8333,15.4833
1591,1,10,IND.11.1_1,72.6167,23.0333
1611,1,1,IND.11.10_1,74.2667,22.8333
1592,1,3,IND.11.12_1,72.6833,23.2167
1586,1,1,IND.11.13_1,70.7147,20.7397
1583,1,1,IND.11.14_1,70.0667,22.4667
1584,1,1,IND.11.16_1,70.1333,23.0833
1585,1,1,IND.11.16_1,70.6333,23.5667
1590,1,2,IND.11.18_1,72.4,23.6
1596,1,3,IND.11.22_1,72.9,20.9667
1587,1,3,IND.11.26_1,70.7833,22.3
1599,1,2,IND.11.32_1,73.2,22.3
1600,1,5,IND.11.32_1,73.2,22.3
1598,1,1,IND.11.6_1,73,21.8833
1605,1,5,IND.11.9_1,74.0167,22.3167
1643,1,1,IND.12.1_1,76.7808,30.3783
1645,1,5,IND.12.10_1,76.9806,29.6161
1634,1,1,IND.12.6_1,75.7167,29.1667
1624,1,1,IND.14.1_1,75.1333,33.75
1626,1,6,IND.14.1_1,75.15,33.7333
1623,1,1,IND.14.11_1,75.0167,33.65
1619,1,10,IND.14.15_1,74.9167,33.8833
1609,1,2,IND.14.16_1,74.25,33.25
1627,1,2,IND.14.17_1,75.25,33.25
1610,1,2,IND.14.4_1,74.2642,34.0306
1612,1,1,IND.14.4_1,74.4667,34.3
1616,1,2,IND.14.6_1,74.7833,34.2333
1613,1,1,IND.14.7_1,74.5881,32.7653
1618,1,22,IND.14.7_1,74.8667,32.7333
1630,1,2,IND.14.9_1,75.5167,32.3667
1699,1,1,IND.15.12_1,85.2833,23.0833
1697,1,3,IND.15.14_1,84.7333,23.6833
1709,1,3,IND.15.16_1,87.7667,24.4667
1695,1,1,IND.15.17_1,84.0833,23.9167
1703,1,1,IND.15.18_1,85.8167,22.5667
1701,1,2,IND.15.21_1,85.3333,23.35
1706,1,1,IND.15.3_1,86.7667,24.3833
1696,1,2,IND.15.9_1,84.55,23.2833
1621,1,3,IND.16.26_1,75,14
1641,1,1,IND.17.2_1,76.2833,9.98333
1642,1,1,IND.17.2_1,76.3644,10.1092
1638,1,1,IND.17.9_1,76.0167,11
1640,1,2,IND.19.10_1,76.2333,21.3
1644,1,1,IND.19.15_1,76.9167,22.6
1689,1,1,IND.19.3_1,81.6833,23.1
1673,1,1,IND.19.30_1,79.2833,23.0333
1659,1,4,IND.19.37_1,78.3319,24.0436
1666,1,1,IND.19.37_1,78.8773,24.1033
1656,1,3,IND.19.4_1,78.1333,24.7167
1665,1,1,IND.19.47_1,78.7736,25.0213
1648,1,1,IND.19.9_1,77.4,23.2667
1694,1,1,IND.2.10_1,83.3,17.7
1678,1,2,IND.2.7_1,79.5167,14.2
1594,1,3,IND.20.17_1,72.8258,18.975
1595,1,20,IND.20.17_1,72.8258,18.975
1597,1,1,IND.20.18_1,72.9333,19.15
1669,1,6,IND.20.19_1,79.1,21.15
1676,1,3,IND.20.19_1,79.4667,21.1
1603,1,2,IND.20.26_1,73.8667,18.5333
1604,1,19,IND.20.26_1,73.8667,18.5333
1607,1,2,IND.20.26_1,74.0833,18.65
1608,1,2,IND.20.26_1,74.0833,18.65
1593,1,3,IND.20.33_1,72.7833,19.2833
1715,1,3,IND.22.1_1,90.5,25.5
1717,1,1,IND.22.10_1,91.5,25.5
1719,1,1,IND.23.1_1,92.7175,23.7244
1721,1,1,IND.23.2_1,93.3333,23.4667
1646,1,3,IND.25.1_1,77.2,28.6
